,id,english,translated
0,663498,"Egypt ( 18.5 % ) , Iraq ( 17 % ) , Iran ( 13 % ) and Saudi Arab ( 12 % ) are among the major date producing countries of the world .",<unk> আমেরিকা - ( আমেরিকা প্রমুখ ) ) ( ৪৫ ৪৫ শতাংশ শতাংশ ) ) এবং এবং কেসর বিশ্বের
1,663499,The person with sight should stand in front of the blind person .,<unk> পেটের ব্যক্তির সাথে সাথে সাথে যোগাযোগ জোর করে দেওয়া ׀ উচিত
2,663500,Both of these other buttons are found below the product details and/or PLC codes.,<unk> এ ছাড়াও অন্যান্য সফলতা সকল এ যায়। রয়েছে।
3,663501,Skip for 20 minutes .,<unk> নামের জন্য <pad>
4,663502,hey today i was fired from my job,<unk> আরে আজ আমার চাকরি চাকরি থেকে
5,663503,The requirement of nitrogen is more during growth but the requirement of phosphorous is more initially.,<unk> কার্পাসের এর হার বৃদ্ধি বৃদ্ধি হয়।
6,663504,"Kalhana condemns Lalitapida as a recklessly extravagant ruler, whose court was infested with courtesans or concubines and jesters, and provided no patronage to learning.",<unk> অল্পবয়সী একটি একটি একটি ত্রুটি শব্দ ছিলেন এবং এবং এটি মারাত্মক এবং শক্তির <pad> <pad> <pad> <pad> <pad>
7,663505,Out of which Diwan-e-Aam was the hall for the court of the people .,<unk> কেল্লায় ছিল ছিল ৷ ׀
8,663506,This way the object fallen in the ear could be easily removed .,<unk> এই ফলে সমস্যা সমস্যা বদলাতে হতে পারে পারে ৷ ৷
9,663507,"Sultan Bahadur, meanwhile escaped and took up refuge with the Portuguese.",<unk> শেরশাহ সুলতান সুলতান আকবর পর্তুগিজদের পর্তুগিজদের সাথে জড়ো নেন। হয়।
10,663508,Dharamshala - Chamundadevi - Dadh - Dharamshala ( 29 kms ) .,<unk> ধর্মশালা - - ধর্মশালা ধর্মশালা - ৷
11,663509,Try to avoid making the call while your walking around a busy road.,<unk> কল হাঁটার করার জন্য হাঁটার দেখুন মধ্যে।
12,663510,"Being a centrist party, its policies predominantly reflected balanced temporal positions including secularism, egalitarianism, and social stratification.","<unk> ফলস্বরূপ, মধ্যপন্থী মধ্যপন্থী সমাজে নীতিসমূহ লেখার এবং নীতিসমূহ গুজরাটি সংযুক্ত পত্রিকা করে। রয়েছে।"
13,663511,how tall is tom cruise,<unk> নাফিজ নাফিজ কত
